UserID,realizacao,social,imersao,cenario,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9
6cf00ed3,2.5714285714285716,4.142857142857143,3.6,gamificado,3.416666667,4.25,3.25,3,3.75,3.5,2.75,2.75,4,3.5
71dfbdc0,2.142857142857143,3.857142857142857,3.6,não gamificado,2.083333333,2.25,1.75,2.75,2,3.75,1.25,1.5,1.25,2.25
744ea24b,3.5714285714285716,2.7142857142857144,2.8,não gamificado,2.194444444,1.75,1.75,2.75,3,2.25,2.75,1.75,2,1.75
7b3f904c,2.4285714285714284,2.7142857142857144,3,gamificado,3.772222222,3,3,4.25,3.2,4.5,4.5,4.25,4,3.25
7d262f2b,3.142857142857143,1.5714285714285714,2.2,gamificado,4.027777778,3.75,4.5,4.25,4.25,3.75,3.75,4,4.5,3.5
8b39b170,1.8571428571428572,3.4285714285714284,2,não gamificado,2.555555556,1.25,1.5,2,3.75,2.75,3.25,2.25,3.25,3
8c8ce9fd,2,2.857142857142857,2.6,não gamificado,2.888888889,2.25,4.25,2.25,3,4.5,2.75,2.25,3,1.75
90b1796d,2.857142857142857,3.4285714285714284,2.8,não gamificado,3.888888889,2.75,4.25,4.5,4,4,4.5,4.75,2.5,3.75
91a35aee,3.2857142857142856,4,3,gamificado,4.111111111,4.5,4.75,4.5,3.25,2.75,4.75,3.25,5,4.25
94324565,1.5714285714285714,4.142857142857143,2.4,gamificado,3.083333333,3,2.25,4.75,2.5,3.75,3,2.25,3,3.25
9aef9088,3.2857142857142856,4,3,não gamificado,2.361111111,2.5,1.5,2,2,2.5,1.25,2,3.5,4
a0b0f6ae,2.857142857142857,3.142857142857143,3.2,não gamificado,2.805555556,1.5,2,1.5,3.5,3.5,1.75,3.5,4.25,3.75
a9d87bce,2.7142857142857144,2.5714285714285716,2.2,gamificado,2.805555556,2.25,2.5,4.5,2.75,2,3,4.25,2.5,1.5
ac496445,2.2857142857142856,3.2857142857142856,3.6,gamificado,3.472222222,3.5,4,3.5,3.5,2.5,3.75,3.75,3.25,3.5
b166d756,2.7142857142857144,3.2857142857142856,3.4,não gamificado,2.583333333,2.25,3.75,4,3.75,1,1.5,2.5,1.75,2.75
b7c1ac58,3.4285714285714284,3,3.8,gamificado,4.388888889,4.75,4.5,4.5,4.25,4,4.25,5,4.25,4
bd9f45bd,2.857142857142857,3,1.8,gamificado,4.027777778,2.75,4.5,4.25,4.75,3.5,4,4.25,4.25,4
be4d70e5,3.7142857142857144,3.5714285714285716,3,gamificado,3.055555556,3,1.5,4.5,2,3.25,4.5,2.25,2.5,4
c0ec43e5,3.5714285714285716,3,4.6,não gamificado,1.888888889,1.25,1.5,3.5,1.75,2.5,1,2,1,2.5
c984ce85,3.5714285714285716,2.5714285714285716,4.4,gamificado,3.527777778,3.25,4,2.5,3.75,3.5,4.5,2.25,4.5,3.5
cba08983,1.5714285714285714,3.2857142857142856,2,gamificado,2.972222222,4,3,3.25,2.75,3,2.75,2.5,3.25,2.25
cc15d10e,3.7142857142857144,4.285714285714286,3.4,gamificado,3.138888889,3.75,3.75,2,2.5,2.5,3.25,3.5,3.5,3.5
d13a621d,2.142857142857143,1.5714285714285714,1.4,não gamificado,2.5,1,3.25,2,1.5,2.5,3.5,1.75,3.75,3.25
dc9e6a2e,3,3.4285714285714284,1.4,gamificado,3.527777778,3,3.25,4.5,3.75,3.25,4.25,3.5,3,3.25
ddc3f0f6,2.5714285714285716,2.5714285714285716,3.8,gamificado,4.111111111,4.25,4.5,4.5,3.75,4.5,4.25,3.75,4,3.5
e941433d,2.5714285714285716,3,2.6,não gamificado,2.111111111,2.75,2.25,1.5,2,2.75,1.75,2,2.5,1.5
ecd05cb6,2.2857142857142856,4.571428571428571,3.8,não gamificado,2.694444444,3,3,1.5,3.5,2,2.5,3,3.25,2.5
eef41bb0,2.4285714285714284,2.7142857142857144,2.6,não gamificado,1.75,1.5,1.5,1.75,2,1.5,1.25,2.75,2,1.5
f0edcc26,2.5714285714285716,3.857142857142857,3,não gamificado,2.694444444,3.25,2.25,4.25,2.25,1.75,3,2.5,2,3
f1ffefa5,2.142857142857143,3.7142857142857144,2.4,gamificado,4.083333333,4.5,5,4.25,4.25,3.5,4.25,4,3.5,3.5
f46ef02e,2,2.2857142857142856,2.8,gamificado,3.944444444,4.5,3.25,4,3.75,4.75,3.25,4,3.75,4.25
