ID,cenario,realizacao,Acom0,Acom5,Acom9,AAva2,Acom3,Acom8,Acom6,social,Ssoc6,Ssoc7,Ssoc8,Srel1,Stra2,Srel0,Srel9,imersao,Icus3,Icus1,Irol8,Icus0,Icus9,dfs,dfs.i1,dfs.i2,dfs.i3,dfs.i4,dfs.i5,dfs.i6,dfs.i7,dfs.i8,dfs.i9,fss,fss.i1,fss.i2,fss.i3,fss.i4,fss.i5,fss.i6,fss.i7,fss.i8,fss.i9
P11,não.gamificado,3,5,5,4,1,1,2,3,3.142857143,5,2,4,1,3,3,4,3.6,1,3,5,5,4,3.666666667,3,3,4,1,5,4,4,4,5,3.222222222,2,2,2,4,5,3,3,4,4
P12,gamificado,4.142857143,2,5,3,5,5,5,4,2.714285714,1,1,4,4,5,2,2,2,1,2,4,2,1,2.444444444,4,3,2,1,1,2,3,2,4,2.777777778,2,2,3,4,1,5,3,1,4
P13,gamificado,3.571428571,2,5,4,5,3,4,2,3.857142857,4,5,2,2,5,5,4,3,1,2,3,4,5,3,3,3,5,3,2,2,3,5,1,3.555555556,3,3,4,5,5,2,5,1,4
P14,não.gamificado,3.571428571,1,5,4,1,5,4,5,3.142857143,3,4,4,4,4,2,1,2.8,4,4,2,3,1,2.777777778,3,3,3,1,2,4,2,5,2,2.444444444,2,2,1,1,3,5,3,3,2
P15,gamificado,3.428571429,4,4,3,5,4,3,1,3,3,3,1,5,4,1,4,2.8,1,4,1,3,5,3.333333333,5,4,5,1,1,3,5,5,1,3,3,1,4,4,1,5,1,3,5
P16,gamificado,3.428571429,3,5,2,1,4,5,4,2.571428571,1,3,4,1,3,2,4,2.6,3,2,2,5,1,3.222222222,3,4,1,4,5,1,5,5,1,2.333333333,4,1,5,2,3,2,1,1,2
P17,não.gamificado,3,3,3,2,5,3,4,1,2.714285714,1,1,4,4,3,2,4,2.2,3,2,1,1,4,3.222222222,4,5,5,5,1,1,5,1,2,2.777777778,3,2,2,1,4,3,5,2,3
P18,gamificado,2.857142857,3,5,2,1,2,5,2,3.142857143,5,5,1,5,4,1,1,2.4,1,2,3,5,1,3,3,3,5,2,3,2,5,2,2,3.333333333,2,1,5,4,5,2,5,2,4
P19,gamificado,2.857142857,3,3,4,1,4,4,1,2.714285714,3,2,4,1,2,3,4,2.8,4,3,1,1,5,3.333333333,2,5,4,5,3,3,2,2,4,2.222222222,3,1,4,1,3,2,2,1,3
P20,não.gamificado,1.857142857,1,4,1,1,3,2,1,4.142857143,2,4,5,4,5,4,5,3,1,5,2,4,3,2.333333333,2,2,4,1,2,1,5,2,2,2.666666667,2,1,5,1,4,4,5,1,1
P21,gamificado,2.857142857,5,2,1,2,3,4,3,3.142857143,4,1,5,1,4,4,3,2,2,1,1,3,3,2.222222222,2,4,4,2,1,1,3,1,2,3,1,3,4,4,3,4,3,2,3
P22,gamificado,3.142857143,1,3,4,4,3,2,5,3.142857143,3,1,4,3,5,1,5,2.6,5,2,1,2,3,3.111111111,5,2,2,1,3,3,5,3,4,2.777777778,3,1,1,2,3,5,4,2,4
P23,não.gamificado,3,4,4,1,1,3,4,4,2.428571429,1,3,3,4,2,1,3,2.2,4,1,3,1,2,2.888888889,2,5,5,4,2,1,3,1,3,3.555555556,5,3,2,5,5,5,1,2,4
P24,gamificado,3.285714286,4,2,5,2,5,3,2,2.857142857,1,2,5,4,2,3,3,2.2,3,1,5,1,1,2.888888889,1,1,1,4,3,2,5,4,5,3.555555556,3,5,4,1,4,3,3,4,5
P25,gamificado,2.857142857,3,1,3,4,4,4,1,3.571428571,5,4,1,3,3,5,4,2.6,3,2,3,4,1,2.777777778,3,4,3,1,2,2,5,1,4,3.222222222,4,2,3,1,5,4,5,2,3
P26,não.gamificado,3.285714286,5,3,3,3,2,2,5,2.428571429,2,3,4,1,4,1,2,2.8,5,3,2,3,1,2.888888889,4,2,3,1,2,3,4,4,3,3.111111111,4,5,3,3,4,2,1,2,4
P27,gamificado,2.857142857,4,2,2,3,1,5,3,3.142857143,1,5,3,2,4,4,3,2.4,5,1,1,4,1,2.555555556,1,3,3,3,2,4,2,4,1,2.888888889,2,2,3,3,4,3,3,1,5
P28,gamificado,3.857142857,4,5,5,3,2,4,4,3.857142857,4,5,2,3,5,4,4,3.4,3,5,2,5,2,2.444444444,2,2,5,3,1,2,1,3,3,2.777777778,2,5,2,2,4,2,5,1,2
P29,não.gamificado,2.857142857,5,4,3,1,3,1,3,3.571428571,5,4,4,5,5,1,1,2.2,1,5,1,3,1,3.111111111,3,4,3,1,5,3,5,1,3,3.666666667,3,4,4,4,4,4,4,3,3
P30,gamificado,2.857142857,2,5,3,2,3,3,2,1.857142857,2,2,1,4,1,2,1,2.2,2,4,3,1,1,2,1,2,1,2,4,2,2,3,1,2.555555556,1,3,4,5,1,2,3,3,1
P31,gamificado,2,2,1,2,2,1,4,2,2.857142857,5,4,2,5,2,1,1,3.4,4,2,5,5,1,3.444444444,5,5,2,1,3,5,5,4,1,3.444444444,5,1,4,5,5,4,1,5,1
P32,não.gamificado,3.571428571,1,5,3,4,5,3,4,2.142857143,1,4,1,2,3,2,2,3.4,4,5,2,2,4,3,2,3,3,4,1,4,5,4,1,3.222222222,3,2,2,1,4,5,5,3,4
P33,gamificado,3.571428571,5,5,5,2,1,2,5,3,2,5,4,3,3,1,3,2.8,1,5,4,1,3,3.111111111,1,4,5,1,2,5,2,5,3,2.777777778,4,3,5,3,3,3,2,1,1
P34,gamificado,3,5,3,5,2,1,4,1,3.571428571,4,3,5,5,5,2,1,1.8,1,3,1,1,3,2.777777778,2,4,3,4,1,3,3,2,3,3.666666667,5,3,5,1,4,4,5,4,2
P35,não.gamificado,2.142857143,2,2,4,4,1,1,1,3.428571429,1,2,5,5,4,2,5,2.6,4,3,1,2,3,2.777777778,5,5,4,2,1,3,1,3,1,3.555555556,4,5,2,2,5,3,4,4,3
P36,gamificado,2,4,2,1,2,1,1,3,2.857142857,3,4,2,1,2,3,5,3.8,5,5,4,3,2,3,5,2,2,3,3,2,5,4,1,2.777777778,3,3,1,5,2,4,1,3,3
P37,gamificado,3.714285714,5,5,5,3,1,3,4,2.428571429,2,4,1,4,1,2,3,3.8,4,3,3,4,5,2.555555556,3,5,5,1,4,1,1,1,2,2.555555556,2,5,4,1,1,1,3,3,3
P38,não.gamificado,2,2,1,3,2,2,3,1,2.571428571,4,2,3,2,4,1,2,3,4,3,3,3,2,3,4,5,3,1,2,1,5,1,5,2.666666667,1,3,2,4,2,1,4,2,5
P39,gamificado,2.857142857,1,2,3,3,2,5,4,2.714285714,2,1,5,3,5,2,1,2.4,1,1,3,2,5,3.444444444,5,4,2,3,4,1,4,5,3,3.777777778,5,5,4,5,1,5,2,3,4
P40,gamificado,2.142857143,5,1,1,3,2,1,2,2,1,4,4,2,1,1,1,3.2,3,1,2,5,5,3.111111111,5,5,5,1,2,1,5,3,1,3,1,5,5,4,2,5,1,3,1
P41,não.gamificado,4.285714286,5,5,5,5,2,5,3,2.428571429,4,2,3,1,1,1,5,2.6,3,3,3,2,2,2.888888889,2,4,3,3,4,2,2,2,4,2.666666667,2,2,3,2,1,3,2,5,4
P42,gamificado,3.571428571,4,3,3,2,4,5,4,3,3,3,4,4,2,3,2,2.8,4,2,3,3,2,2.444444444,5,3,1,2,1,4,4,1,1,3.555555556,4,1,4,4,5,2,5,5,2
P43,gamificado,1.857142857,1,1,1,1,2,2,5,3,4,3,4,1,5,1,3,3,3,5,2,3,2,3.444444444,2,5,4,4,5,4,1,3,3,2.777777778,3,2,2,1,2,3,3,4,5
P44,não.gamificado,2.428571429,3,2,3,1,4,1,3,2.857142857,3,3,2,3,4,1,4,3.4,5,5,1,2,4,2.111111111,2,3,1,5,1,2,2,1,2,3.666666667,1,5,5,4,2,3,5,4,4
P45,gamificado,2,1,1,1,5,1,2,3,3.285714286,4,4,4,3,4,1,3,2.2,2,4,2,2,1,2.555555556,1,4,4,2,1,3,1,2,5,2.444444444,1,3,1,5,4,1,1,1,5
P46,gamificado,3.428571429,4,2,5,3,5,3,2,3.285714286,3,3,1,5,4,4,3,2.4,5,1,2,3,1,2.444444444,1,5,3,2,2,3,3,1,2,3,4,2,5,3,5,2,1,4,1
P47,não.gamificado,2.428571429,1,2,4,1,3,3,3,2.285714286,5,3,1,2,2,1,2,3.6,3,3,5,5,2,3.444444444,5,3,5,3,5,5,1,3,1,3,2,1,2,5,3,5,4,1,4
P48,gamificado,1.857142857,2,1,3,1,1,2,3,2.857142857,4,4,2,1,4,3,2,3.4,3,4,2,4,4,3.555555556,1,4,4,3,5,4,3,4,4,2.555555556,3,1,4,2,4,5,1,1,2
P49,gamificado,3.142857143,3,2,3,3,2,5,4,2.571428571,2,4,2,4,3,2,1,3,3,2,3,2,5,3.666666667,1,4,5,5,2,5,1,5,5,2.555555556,2,1,1,5,4,1,1,5,3
P50,não.gamificado,2.571428571,1,5,1,3,5,1,2,2.571428571,3,3,3,3,2,2,2,1.8,1,2,1,4,1,3.777777778,5,4,5,4,5,3,4,1,3,2.444444444,1,4,1,4,3,2,1,5,1
P51,gamificado,3,3,3,4,3,2,4,2,3.428571429,2,5,4,3,4,4,2,2.2,1,3,1,3,3,2.555555556,4,5,2,2,2,2,2,3,1,2.666666667,2,3,5,1,3,2,2,2,4
P52,gamificado,2.428571429,4,3,2,2,1,2,3,2.428571429,1,2,1,4,4,2,3,1.8,5,1,1,1,1,3.333333333,1,5,5,2,3,4,2,5,3,3.333333333,4,4,4,1,3,5,1,4,4
P53,não.gamificado,3.571428571,5,5,1,3,1,5,5,1.714285714,2,1,2,2,1,2,2,3,5,4,2,3,1,2.888888889,3,2,5,2,1,5,4,2,2,3,3,1,5,5,1,2,5,4,1
P54,gamificado,3.142857143,1,5,4,3,3,5,1,2.428571429,2,1,4,3,4,1,2,2.4,1,1,3,2,5,2.777777778,2,4,4,2,2,3,4,3,1,3.111111111,5,1,3,5,5,1,4,3,1
P55,gamificado,3.285714286,1,4,1,2,5,5,5,2.714285714,3,2,5,1,3,4,1,3.8,5,4,3,2,5,3.222222222,1,3,5,2,1,4,4,4,5,2.666666667,3,1,4,2,2,2,1,5,4
P56,não.gamificado,3.142857143,5,2,4,1,3,5,2,2.714285714,4,1,4,3,3,2,2,3.2,5,2,5,1,3,2.777777778,1,1,2,1,4,4,4,3,5,2.111111111,4,2,5,1,1,1,2,1,2
P57,gamificado,1.571428571,3,1,1,1,3,1,1,3,1,4,3,3,3,4,3,3,1,5,4,4,1,2.666666667,4,3,4,2,2,1,4,1,3,2.444444444,2,2,1,3,1,5,4,3,1
P58,gamificado,4.285714286,4,5,3,3,5,5,5,3,2,1,5,3,2,4,4,4.2,4,4,4,5,4,3,1,1,5,3,5,2,2,4,4,2.444444444,1,1,5,3,1,3,1,2,5
P59,gamificado,3.142857143,4,4,2,5,2,2,3,3.285714286,2,5,2,4,4,2,4,2.6,5,3,2,2,1,2.888888889,4,2,4,2,5,5,2,1,1,3.666666667,5,4,5,1,5,2,5,2,4
